"id","parcelid","airconditioningtypeid","architecturalstyletypeid","basementsqft","bathroomcnt","bedroomcnt","buildingclasstypeid","buildingqualitytypeid","calculatedbathnbr","decktypeid","finishedfloor1squarefeet","calculatedfinishedsquarefeet","finishedsquarefeet12","finishedsquarefeet13","finishedsquarefeet15","finishedsquarefeet50","finishedsquarefeet6","fips","fireplacecnt","fullbathcnt","garagecarcnt","garagetotalsqft","hashottuborspa","heatingorsystemtypeid","latitude","longitude","lotsizesquarefeet","poolcnt","poolsizesum","pooltypeid10","pooltypeid2","pooltypeid7","propertycountylandusecode","propertylandusetypeid","propertyzoningdesc","rawcensustractandblock","regionidcity","regionidcounty","regionidneighborhood","regionidzip","roomcnt","storytypeid","threequarterbathnbr","typeconstructiontypeid","unitcnt","yardbuildingsqft17","yardbuildingsqft26","yearbuilt","numberofstories","fireplaceflag","structuretaxvaluedollarcnt","taxvaluedollarcnt","assessmentyear","landtaxvaluedollarcnt","taxamount","taxdelinquencyflag","taxdelinquencyyear","censustractandblock"
10,11070347,1,NULL,NULL,4,4,NULL,1,4,NULL,NULL,3095,3095,NULL,NULL,NULL,NULL,6037,NULL,4,NULL,NULL,NULL,2,34291173,-118577875,NULL,NULL,NULL,NULL,NULL,NULL,"010D",269,"LARE",60371082.021002,12447,3101,275078,96356,0,NULL,NULL,NULL,1,NULL,NULL,2016,NULL,NULL,138760,192544,2016,53784,2460.72,NULL,NULL,NULL
11,11073947,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,2470,NULL,NULL,2470,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34265214,-118520217,3423,NULL,NULL,NULL,NULL,NULL,1200,47,"LAC2",60371112.022020996,12447,3101,31817,96370,0,NULL,NULL,NULL,NULL,NULL,NULL,1958,1,NULL,249582,436767,2016,187185,6014.18,NULL,NULL,NULL
12,11114347,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34447747,-118565056,81293,NULL,NULL,NULL,NULL,NULL,"010D",269,"SCUR3",60379201.081013,NULL,3101,NULL,96377,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2016,9,NULL,NULL,NULL,NULL
13,11116947,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34465048,-118568166,6286,NULL,NULL,NULL,NULL,NULL,"010D",269,"LCA25*",60379201.071002,NULL,3101,NULL,96377,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171200,2016,171200,4690.68,NULL,NULL,NULL
14,11142747,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34416889,-118505805,NULL,NULL,NULL,NULL,NULL,NULL,"300V",266,"SCBP",60379203.142,54311,3101,37739,96373,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4265,2015,4265,NULL,NULL,NULL,NULL
15,11193347,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34585014,-118162010,11975,NULL,NULL,NULL,NULL,NULL,"0100",261,"PDA1*",60379104.01101,40227,3101,NULL,97329,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,2016,10,NULL,NULL,NULL,NULL
16,11215747,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34563376,-118019104,9403,NULL,NULL,NULL,NULL,NULL,"0100",261,"PDA21*",60379107.05102,40227,3101,NULL,97330,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,2016,10,NULL,NULL,NULL,NULL
17,11229347,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34526913,-118050581,3817,NULL,NULL,NULL,NULL,NULL,"0100",261,"LCA21*",60379107.091112,40227,3101,NULL,97330,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2108,2016,2108,174.21,NULL,NULL,NULL
18,11287347,NULL,NULL,NULL,0,0,4,3,NULL,NULL,NULL,2760,NULL,NULL,2760,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34690736,-118135225,8856,NULL,NULL,NULL,NULL,NULL,1210,31,"LRC3*",60379008.061041005,5534,3101,NULL,97317,0,NULL,NULL,NULL,NULL,NULL,NULL,1949,1,NULL,33151,63374,2016,30223,2330.24,NULL,NULL,NULL
19,11288547,NULL,NULL,NULL,0,0,NULL,4,NULL,NULL,NULL,4000,4000,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34733960,-118139298,46526,NULL,NULL,NULL,NULL,NULL,"300V",260,"LCM*",60379003.001052,5534,3101,NULL,97318,0,NULL,NULL,NULL,NULL,NULL,NULL,1956,NULL,NULL,176653,314727,2016,138074,4162.56,NULL,NULL,NULL
20,11324547,1,NULL,NULL,2,4,NULL,8,2,NULL,NULL,3633,3633,NULL,NULL,NULL,NULL,6037,NULL,2,NULL,NULL,NULL,2,34560018,-118169806,9826,NULL,NULL,NULL,NULL,NULL,"0100",261,"LCA22",60379102.0611,40227,3101,NULL,97329,0,NULL,NULL,NULL,1,NULL,NULL,2005,NULL,NULL,222321,296425,2016,74104,6941.39,NULL,NULL,NULL
21,11391347,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,4053,NULL,NULL,4053,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33986910,-118329553,8050,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC2",60372347.003006995,12447,3101,115729,96024,0,NULL,NULL,NULL,1,NULL,NULL,2002,1,NULL,200612,511433,2016,310821,6840.34,NULL,NULL,NULL
22,11395747,NULL,NULL,NULL,0,0,4,6,NULL,NULL,NULL,1442,NULL,NULL,1442,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33960238,-118319986,2904,NULL,NULL,NULL,NULL,NULL,1210,31,"INC2*",60376008.012022994,45888,3101,NULL,96137,0,NULL,NULL,NULL,1,NULL,NULL,NULL,1,NULL,36423,50689,2016,14266,1522.08,NULL,NULL,NULL
23,11404347,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,1936,NULL,NULL,1936,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33959896,-118350438,1821,NULL,NULL,NULL,NULL,NULL,1210,31,"INC1*",60376010.012021,45888,3101,NULL,96133,0,NULL,NULL,NULL,NULL,NULL,NULL,1939,1,NULL,111677,365489,2016,253812,3703.54,"Y",13,NULL
24,11405747,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,1606,NULL,NULL,1606,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,7,33952952,-118361711,5231,NULL,NULL,NULL,NULL,NULL,1210,31,"INC2YY",60376014.021005005,45888,3101,NULL,96133,0,NULL,NULL,NULL,1,NULL,NULL,1926,1,NULL,42556,184437,2016,141881,2992.02,NULL,NULL,NULL
25,11417147,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,2820,NULL,NULL,2820,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33931500,-118352104,5934,NULL,NULL,NULL,NULL,NULL,1210,31,"HAC2YY",60376021.031001,45888,3101,NULL,96136,0,NULL,NULL,NULL,2,NULL,NULL,1922,1,NULL,45644,135755,2016,90111,2797.7,NULL,NULL,NULL
26,11441547,NULL,NULL,NULL,0,0,4,5,NULL,NULL,NULL,13130,NULL,NULL,13130,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33901592,-118353199,13200,NULL,NULL,NULL,NULL,NULL,1200,47,"LNM1YY",60376039.001008,46178,3101,NULL,96107,0,NULL,NULL,NULL,NULL,NULL,NULL,1953,1,NULL,786351,1093711,2016,307360,15617.06,NULL,NULL,NULL
27,11457547,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33961232,-118385376,500,NULL,NULL,NULL,NULL,NULL,"0100",261,"LAR2",60372760.003,12447,3101,7877,96026,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,124,2016,124,NULL,NULL,NULL,NULL
28,11488147,NULL,NULL,NULL,4,5,NULL,8,4,NULL,NULL,2865,NULL,NULL,2865,NULL,NULL,6037,NULL,4,NULL,NULL,NULL,NULL,33879216,-118361434,4990,NULL,NULL,NULL,NULL,NULL,"0200",246,"RBR-3",60376205.211004004,33612,3101,NULL,96124,0,NULL,NULL,NULL,2,NULL,NULL,1972,NULL,NULL,271704,831224,2016,559520,10455.41,NULL,NULL,NULL
29,11520747,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,6790,NULL,NULL,6790,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34016768,-118408671,10437,NULL,NULL,NULL,NULL,NULL,1200,47,"CCR4*",60377028.01300601,51617,3101,762191,96097,0,NULL,NULL,NULL,NULL,NULL,NULL,1955,1,NULL,207923,798579,2016,590656,11304.81,NULL,NULL,NULL
30,11524947,1,NULL,NULL,2,2,NULL,7,2,NULL,NULL,1090,1090,NULL,NULL,NULL,NULL,6037,NULL,2,NULL,NULL,NULL,2,33974100,-118423000,40247,NULL,NULL,NULL,NULL,NULL,"010C",266,"LAC2(PV)",60372756.021009,12447,3101,13327,96072,0,NULL,NULL,NULL,1,NULL,NULL,2004,NULL,NULL,232897,357568,2016,124671,6165.36,NULL,NULL,NULL
31,11544747,1,NULL,NULL,4,3,NULL,11,4,NULL,NULL,1620,1620,NULL,NULL,NULL,NULL,6037,NULL,4,NULL,NULL,NULL,2,33996200,-118438000,NULL,NULL,NULL,NULL,NULL,NULL,"0100",261,"LAR3",60372722.021006,12447,3101,116415,96047,0,NULL,NULL,NULL,1,NULL,NULL,2011,NULL,NULL,339532,847770,2016,508238,10244.94,NULL,NULL,NULL
32,11579347,NULL,NULL,NULL,0,0,4,7,NULL,NULL,NULL,3170,NULL,NULL,3170,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34047254,-118490143,5010,NULL,NULL,NULL,NULL,NULL,1210,31,"SMC2*",60377012.011007994,12447,3101,113910,96149,0,NULL,NULL,NULL,NULL,NULL,NULL,1955,1,NULL,313941,536681,2016,222740,6905.7,NULL,NULL,NULL
33,11585547,NULL,NULL,NULL,2,3,NULL,8,2,NULL,NULL,2077,2077,NULL,NULL,NULL,NULL,6037,NULL,2,NULL,NULL,NULL,2,34012977,-118479243,6490,NULL,NULL,NULL,NULL,NULL,"0100",261,"SMR2*",60377022.014001004,26964,3101,NULL,96152,0,NULL,NULL,NULL,1,NULL,NULL,1926,NULL,NULL,210192,646760,2016,436568,7924.68,NULL,NULL,NULL
34,11588747,NULL,NULL,NULL,3,3,NULL,5,3,NULL,NULL,2019,NULL,NULL,2019,NULL,NULL,6037,NULL,3,NULL,NULL,NULL,NULL,34003621,-118477513,6763,NULL,NULL,NULL,NULL,NULL,"0300",247,"SMOP2*",60377021.027,26964,3101,117023,96152,0,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,451786,1431502,2016,979716,17034.34,NULL,NULL,NULL
35,11592147,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,28667,NULL,NULL,28667,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34021478,-118495171,NULL,NULL,NULL,NULL,NULL,NULL,1204,47,"SMC3",60377014.024009995,26964,3101,761543,96148,0,NULL,NULL,NULL,NULL,NULL,NULL,1958,4,NULL,13315021,25797852,2016,12482831,333480.7,NULL,NULL,NULL
36,11609547,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,5610,NULL,NULL,5610,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34043579,-118420247,5500,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC2",60372693.005005,12447,3101,403142,96045,0,NULL,NULL,NULL,1,NULL,NULL,1932,1,NULL,33522,239984,2016,206462,3436.86,NULL,NULL,NULL
37,11617547,1,NULL,NULL,3,2,NULL,NULL,3,NULL,NULL,2735,2735,NULL,NULL,NULL,NULL,6037,NULL,3,NULL,NULL,NULL,2,34059700,-118439000,NULL,NULL,NULL,NULL,NULL,NULL,"010C",266,"LAR5",60372656.022002004,12447,3101,118920,96005,0,NULL,NULL,NULL,1,NULL,NULL,2010,NULL,NULL,757582,2922104,2016,2164522,34982.17,NULL,NULL,NULL
38,11660547,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34061789,-118490569,NULL,NULL,NULL,NULL,NULL,NULL,"0109",261,"LARA",60372623.033004,12447,3101,113910,96030,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,233427,6730242,2016,6496815,80348.13,NULL,NULL,NULL
39,11681747,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34078805,-118685815,2902,NULL,NULL,NULL,NULL,NULL,"010V",261,"LCA11*",60378001.023052,NULL,3101,NULL,96337,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15532,2016,15532,248.89,NULL,NULL,NULL
40,11698747,NULL,NULL,NULL,0,0,4,6,NULL,NULL,NULL,18629,NULL,NULL,18629,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,33989166,-118352009,17015,NULL,NULL,NULL,NULL,NULL,1200,47,"LCC2YY",60377031.003012,12447,3101,115729,96024,0,NULL,NULL,NULL,NULL,NULL,NULL,1949,1,NULL,590254,1315128,2016,724874,19040.15,NULL,NULL,NULL
41,11704347,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,1781,NULL,NULL,1781,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,7,33997099,-118308380,7484,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC2",60372324.003003,12447,3101,118208,96043,0,NULL,NULL,NULL,1,NULL,NULL,1919,1,NULL,31244,101107,2016,69863,2282.52,NULL,NULL,NULL
42,11732547,NULL,NULL,NULL,0,0,3,4,NULL,NULL,NULL,4320,NULL,NULL,4320,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34040347,-118284504,9410,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC2",60372211.202001,12447,3101,403192,95987,0,NULL,NULL,NULL,NULL,NULL,NULL,1925,1,NULL,52490,262499,2016,210009,3695.84,NULL,NULL,NULL
43,11742147,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34048500,-118351405,3928,NULL,NULL,NULL,NULL,NULL,"100V",260,"LAC4",60372171.001005,12447,3101,274514,96000,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4703,290829,2016,286126,3639.9,NULL,NULL,NULL
44,11751547,NULL,NULL,NULL,0,0,4,NULL,NULL,NULL,NULL,1012,NULL,NULL,1012,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34059275,-118343860,6163,NULL,NULL,NULL,NULL,NULL,1200,47,"LAC2",60372162.001002,12447,3101,274514,96017,0,NULL,NULL,NULL,NULL,NULL,NULL,1936,1,NULL,52011,1196269,2016,1144258,14592.4,NULL,NULL,NULL
45,11759947,NULL,NULL,NULL,2,4,NULL,4,2,NULL,NULL,1931,NULL,NULL,1931,NULL,NULL,6037,NULL,2,NULL,NULL,NULL,7,33990297,-118275168,5420,NULL,NULL,NULL,NULL,NULL,"0200",246,"LAR2",60372328.002008,12447,3101,268496,96018,0,NULL,NULL,NULL,2,NULL,NULL,1957,NULL,NULL,124789,224617,2016,99828,2885.93,NULL,NULL,NULL
46,11780147,NULL,NULL,NULL,1,0,NULL,NULL,1,NULL,NULL,700,700,NULL,NULL,NULL,NULL,6037,NULL,1,NULL,NULL,NULL,NULL,34046011,-118261452,NULL,NULL,NULL,NULL,NULL,NULL,"01HC",266,"LAC2",60372079.002,12447,3101,268118,95996,0,NULL,NULL,NULL,1,NULL,NULL,2008,NULL,NULL,271309,387288,2016,115979,4920.64,NULL,NULL,NULL
47,11781947,NULL,NULL,NULL,0,0,3,6,NULL,NULL,NULL,13768,NULL,NULL,13768,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34053742,-118277178,19283,NULL,NULL,NULL,NULL,NULL,1200,47,"LAC2",60372094.021001,12447,3101,268404,96038,0,NULL,NULL,NULL,5,NULL,NULL,1920,1,NULL,185411,504840,2016,319429,8156.96,"Y",15,NULL
48,11808747,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,2427,NULL,NULL,2427,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34078681,-118213803,4676,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC4",60371992.012003005,12447,3101,116206,96012,0,NULL,NULL,NULL,NULL,NULL,NULL,1937,1,NULL,131982,385794,2016,253812,4937.95,NULL,NULL,NULL
49,11817747,NULL,NULL,NULL,0,0,4,6,NULL,NULL,NULL,2718,NULL,NULL,2718,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34090024,-118162665,2749,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC2",60372015.011006996,12447,3101,114914,96013,0,NULL,NULL,NULL,2,NULL,NULL,1962,1,NULL,229850,332879,2016,103029,2236.95,NULL,NULL,NULL
50,11818747,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34072919,-118164004,5875,NULL,NULL,NULL,NULL,NULL,"0100",261,"LAPF",60372017.00300401,12447,3101,403190,96013,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11009,2016,11009,NULL,NULL,NULL,NULL
51,11823747,NULL,NULL,NULL,0,0,4,8,NULL,NULL,NULL,3230,NULL,NULL,3230,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34048938,-118192806,4995,NULL,NULL,NULL,NULL,NULL,1210,31,"LAC2",60372032.002005,12447,3101,113886,96044,0,NULL,NULL,NULL,2,NULL,NULL,1927,1,NULL,42827,95552,2016,52725,1439.04,NULL,NULL,NULL
52,11824947,NULL,NULL,NULL,0,0,4,5,NULL,NULL,NULL,2086,NULL,NULL,2086,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34040253,-118188151,5279,NULL,NULL,NULL,NULL,NULL,1210,31,"LCC3*",60375311.01300301,17882,3101,NULL,96044,0,NULL,NULL,NULL,2,NULL,NULL,1908,1,NULL,103339,369854,2016,266515,6196.56,NULL,NULL,NULL
53,11825347,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,4355,NULL,NULL,4355,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34033519,-118185231,9132,NULL,NULL,NULL,NULL,NULL,1210,31,"LCC3*",60375311.014001004,17882,3101,NULL,96044,0,NULL,NULL,NULL,5,NULL,NULL,1957,1,NULL,303881,562744,2016,258863,9208.71,"Y",11,NULL
54,11828947,NULL,NULL,NULL,0,0,4,5,NULL,NULL,NULL,4567,NULL,NULL,4567,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34028416,-118191127,5163,NULL,NULL,NULL,NULL,NULL,1210,31,"LCC3*",60375312.01200601,17882,3101,NULL,96044,0,NULL,NULL,NULL,1,NULL,NULL,1909,1,NULL,37662,55862,2016,18200,2778.74,NULL,NULL,NULL
55,11829547,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,2156,NULL,NULL,2156,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34024226,-118188022,7165,NULL,NULL,NULL,NULL,NULL,1210,31,"LCM1*",60375312.02100799,17882,3101,NULL,96004,0,NULL,NULL,NULL,2,NULL,NULL,1959,1,NULL,206071,343796,2016,137725,5716.15,NULL,NULL,NULL
56,11852147,NULL,NULL,NULL,0,0,4,4,NULL,NULL,NULL,3159,NULL,NULL,3159,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34021350,-118130571,2555,NULL,NULL,NULL,NULL,NULL,1210,31,"MNC2*",60375302.041015,25953,3101,NULL,96192,0,NULL,NULL,NULL,2,NULL,NULL,1955,1,NULL,59621,73264,2016,13643,1614.71,"Y",15,NULL
57,11900147,NULL,NULL,NULL,0,0,3,NULL,NULL,NULL,NULL,6150,NULL,NULL,6150,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34096844,-118107664,4022,NULL,NULL,NULL,NULL,NULL,1200,47,"SLC2D*",60374811.011014,33837,3101,NULL,96515,0,NULL,NULL,NULL,NULL,NULL,NULL,1916,1,NULL,221153,406553,2016,185400,6693.9,NULL,NULL,NULL
58,11918747,NULL,NULL,NULL,0,0,3,8,NULL,NULL,NULL,1045,NULL,NULL,1045,NULL,NULL,6037,NULL,NULL,NULL,NULL,NULL,NULL,34081400,-118085000,117792,NULL,NULL,NULL,NULL,NULL,"120C",47,"SLM1-R3*",60374814.025006,33837,3101,NULL,96515,0,NULL,NULL,NULL,1,NULL,NULL,1993,NULL,NULL,190985,318308,2016,127323,4521.82,NULL,NULL,NULL
